Nhóm,No,Câu hỏi,Trả lời,Gợi ý khai thác,Mức độ ưu tiên
4. Đơn đặt hàng (PO),4.5,Có sử dụng Blanket PO (PO mở/khung) hay PO định kỳ với nhà cung cấp chiến lược không?,Có (optional),Theo dõi số lượng đã giao/còn lại trong PO khung như thế nào? Ai theo dõi hạn mức?,Tuỳ chọn
5. Nhận hàng & kho,5.1,Quy trình nhận hàng tại kho được thực hiện như thế nào?,Trong file workflow đính kèm,Ai kiểm tra hàng hóa khi nhận? Đối chiếu với PO và phiếu giao hàng (Delivery Note) như thế nào? Có dùng thiết bị barcode/RFID không?,Bắt buộc
5. Nhận hàng & kho,5.2,Nếu hàng nhận không đủ số lượng hoặc không đạt chất lượng thì quy trình xử lý như thế nào?,,"Nhận một phần, từ chối, hay đặt vào khu cách ly (quarantine)? Ai chịu trách nhiệm thông báo cho nhà cung cấp và bộ phận mua hàng?",Bắt buộc
5. Nhận hàng & kho,5.3,Có quy trình kiểm tra chất lượng đầu vào (IQC) trước khi nhập kho chính thức không?,Việc này không nằm trong hệ thống hiện tại,Bộ phận QC có phối hợp với mua hàng như thế nào? Kết quả IQC có ảnh hưởng đến việc chốt hóa đơn không?,Tuỳ chọn
5. Nhận hàng & kho,5.4,Hàng nhập kho có cần theo dõi theo lô (batch) - hạn sử dụng - hay serial number không?,Có (optional),Ảnh hưởng đến quy tắc xuất kho (FIFO/FEFO/LIFO) và truy xuất nguồn gốc.,Tuỳ chọn
5. Nhận hàng & kho,5.5,Kho có nhiều vị trí (location/bin) không? Cần theo dõi tồn kho theo từng vị trí không?,Có (optional),"Yêu cầu về quản lý kho đa tầng: khu nhận, khu lưu trữ, khu sản xuất, khu hoàn thành?",Tuỳ chọn
6. Thanh toán & kế toán,6.1,Quy trình đối soát 3 chiều (PO – Phiếu nhận hàng – Hóa đơn) hiện tại thực hiện như thế nào?,Trong file workflow đính kèm,"Ai chịu trách nhiệm khớp lệnh? Sai lệch cho phép tối đa bao nhiêu (về số lượng, giá trị)?",Bắt buộc
6. Thanh toán & kế toán,6.2,Điều kiện thanh toán (payment terms) với nhà cung cấp được quản lý ở đâu và như thế nào?,Trong file workflow đính kèm,"Net 30, 45, 60 ngày? Thanh toán trước, đặt cọc? Ai được phép thay đổi điều khoản thanh toán?",Bắt buộc
6. Thanh toán & kế toán,6.3,Phần mềm kế toán/ERP đang sử dụng là gì? Cần tích hợp dữ liệu sang kế toán như thế nào?,"Hiện tại chưa cần tích hợp, kế toán sẽ trực tiếp xử lý trên hệ thống hiện tại sau khi thực hiện các nghiệp vụ trên phần mềm kế toán","MISA, Fast, SAP, Oracle, hoặc phần mềm nội bộ? Tích hợp realtime hay cuối ngày? Các bút toán nào cần tự động hóa?",Bắt buộc
6. Thanh toán & kế toán,6.4,Có yêu cầu quản lý thuế GTGT đầu vào và các loại thuế liên quan trong quy trình mua hàng không?,Không,"Hoá đơn VAT điện tử, khấu trừ thuế tại nguồn (withholding tax) với nhà cung cấp dịch vụ?",Tuỳ chọn
6. Thanh toán & kế toán,6.5,Có trường hợp trả hàng hoặc đề nghị hoàn tiền/đổi hàng sau khi đã thanh toán không?,Có,Quy trình xử lý Debit Note / Credit Note với nhà cung cấp như thế nào?,Tuỳ chọn
7. Báo cáo & tích hợp,7.1,Các báo cáo mua hàng nào là quan trọng và cần xem thường xuyên nhất?,"tình trạng PO, hiệu suất nhà cung cấp, chi phí mua theo danh mục, công nợ phải trả.","Ví dụ: tình trạng PO, hiệu suất nhà cung cấp, chi phí mua theo danh mục, tồn kho sắp hết, công nợ phải trả.",Bắt buộc
7. Báo cáo & tích hợp,7.2,Hệ thống nào cần tích hợp với hệ thống mua hàng mới?,Hiện tại không cần tích hợp,"ERP, phần mềm sản xuất (MES), WMS, phần mềm kế toán, hệ thống quản lý chất lượng (QMS)?",Bắt buộc
7. Báo cáo & tích hợp,7.3,Có yêu cầu về phân quyền người dùng theo vai trò (RBAC) không?,"Có. Phân quyền RBAC.
- Giám đốc
- Phó giám đốc
- Các phòng ban (trưởng phòng, nhân viên)","Ai xem được gì, ai làm được gì? Có cần log đầy đủ mọi thao tác (audit trail) để kiểm toán không?",Bắt buộc
7. Báo cáo & tích hợp,7.4,Doanh nghiệp có kế hoạch mở cổng dành cho nhà cung cấp (Vendor Portal) không?,Hiện tại chưa có yêu cầu,"Nhà cung cấp xem đơn hàng, nộp hóa đơn điện tử, cập nhật thông tin giao hàng trực tiếp trên hệ thống?",Tuỳ chọn
7. Báo cáo & tích hợp,7.5,Yêu cầu về hạ tầng triển khai: On-premise - Cloud - hay Hybrid? Có ràng buộc về bảo mật dữ liệu không?,Cloud,Số lượng người dùng đồng thời dự kiến? Yêu cầu SLA và thời gian hoạt động (uptime)? Dữ liệu có được lưu trữ ngoài Việt Nam không?,Tuỳ chọn
7. Báo cáo & tích hợp,7.6,Timeline và ngân sách dự kiến cho dự án này là bao nhiêu?,Hoàn thành toàn bộ những yêu cầu trong 2 tháng,"Deadline go-live? Có phase triển khai ưu tiên không (MVP trước, mở rộng sau)? Ngân sách bao gồm license, triển khai, đào tạo, bảo trì?",Bắt buộc
8. Yêu cầu về triển khai,8.1,Doanh nghiệp mong muốn sử dụng nền tảng triển khai nào?,"sử dụng Python flask hoặc django, DB - SQL Server",,Tuỳ chọn
8. Yêu cầu về triển khai,8.2,Yêu cầu về bảo mật,"- Đăng nhập bằng email
- Password dùng bcrypt",,Tuỳ chọn
8. Yêu cầu về triển khai,8.3,Yêu cầu về hệ thống,"- Dễ mở rộng
- Dễ tích hợp với các hệ thống khác về sau
- Có thể thay đổi workflow một cách linh hoạt",,
